日付,開始価格,最高価格,最低価格,終値,ボリューム,時価総額
2017年5月22日,"2,043.19","2,303.90","2,017.87","2,173.40","1,942,220,032","33,393,600,512"
2017年5月21日,"2,067.03","2,119.08","2,037.50","2,041.20","1,147,859,968","33,779,400,704"
2017年5月20日,"1,984.24","2,084.73","1,974.92","2,084.73","961,336,000","32,422,400,000"
2017年5月19日,"1,897.37","2,004.52","1,890.25","1,987.71","1,157,289,984","30,998,999,040"
2017年5月18日,"1,818.70","1,904.48","1,807.12","1,888.65","894,321,024","29,710,499,840"
2017年5月17日,"1,726.73","1,864.05","1,661.91","1,839.09","1,064,729,984","28,204,800,000"
2017年5月16日,"1,741.70","1,785.94","1,686.54","1,734.45","959,044,992","28,446,300,160"
2017年5月15日,"1,808.44","1,812.80","1,708.54","1,738.43","731,529,024","29,532,600,320"
2017年5月14日,"1,800.86","1,831.42","1,776.62","1,808.91","437,196,000","29,405,100,032"
2017年5月13日,"1,723.12","1,812.99","1,651.08","1,804.91","579,635,008","28,132,300,800"
2017年5月12日,"1,845.76","1,856.15","1,694.01","1,724.24","740,984,000","30,131,099,648"
2017年5月11日,"1,780.37","1,873.93","1,755.35","1,848.57","799,489,984","29,060,599,808"
2017年5月10日,"1,756.52","1,788.44","1,719.10","1,787.13","915,723,008","28,668,100,608"
2017年5月9日,"1,723.89","1,833.49","1,716.30","1,755.36","1,167,920,000","28,132,200,448"
2017年5月8日,"1,596.92","1,723.35","1,596.92","1,723.35","1,340,320,000","26,056,499,200"
2017年5月7日,"1,579.47","1,596.72","1,559.76","1,596.71","1,080,029,952","25,768,499,200"
2017年5月6日,"1,556.81","1,578.80","1,542.50","1,578.80","582,529,984","25,395,599,360"
2017年5月5日,"1,540.87","1,618.03","1,530.31","1,555.45","946,035,968","25,133,099,008"
2017年5月4日,"1,490.72","1,608.91","1,490.72","1,537.67","933,548,992","24,311,900,160"
2017年5月3日,"1,453.78","1,492.77","1,447.49","1,490.09","583,795,968","23,707,099,136"
2017年5月2日,"1,421.03","1,473.90","1,415.69","1,452.82","477,337,984","23,170,199,552"
2017年5月1日,"1,348.30","1,434.32","1,348.30","1,421.60","713,624,000","21,981,800,448"
2017年4月30日,"1,321.87","1,347.91","1,314.92","1,347.89","413,115,008","21,548,400,640"
2017年4月29日,"1,317.84","1,327.20","1,315.21","1,321.79","422,705,984","21,479,800,832"
2017年4月28日,"1,317.74","1,331.28","1,292.37","1,316.48","527,488,992","21,475,999,744"
